chr - hs19 19 0 58617616 chr19
band hs19 p13.3 p13.3 0 6900000 gneg
band hs19 p13.2 p13.2 6900000 12600000 gpos25
band hs19 p13.13 p13.13 12600000 13800000 gneg
band hs19 p13.12 p13.12 13800000 16100000 gpos25
band hs19 p13.11 p13.11 16100000 19900000 gneg
band hs19 p12 p12 19900000 24200000 gvar
band hs19 p11 p11 24200000 26200000 acen
band hs19 q11 q11 26200000 28100000 acen
band hs19 q12 q12 28100000 31900000 gvar
band hs19 q13.11 q13.11 31900000 35100000 gneg
band hs19 q13.12 q13.12 35100000 37800000 gpos25
band hs19 q13.13 q13.13 37800000 38200000 gneg
band hs19 q13.2 q13.2 38200000 42900000 gpos25
band hs19 q13.31 q13.31 42900000 44700000 gneg
band hs19 q13.32 q13.32 44700000 47500000 gpos25
band hs19 q13.33 q13.33 47500000 50900000 gneg
band hs19 q13.41 q13.41 50900000 53100000 gpos25
band hs19 q13.42 q13.42 53100000 55800000 gneg
band hs19 q13.43 q13.43 55800000 58617616 gpos25
